account_id,staff_name,level_user,username,password
0,DB Super Admin,Superadmin,superAdminLogin,superAdminPassword
1,Alfiansyah Komeng,WHStaff,komenk,komenkdabest
2,Budi Santoso,WHStaff,budis,budis123
3,Citra Dewi,CHStaff,citrad,citrad456
4,Dewi Lestari,WHStaff,dewil,dewil789
5,Eko Prasetyo,CHStaff,ekop,ekop123
6,Fajar Nugroho,WHStaff,fajarn,fajarn456
7,Gita Permata,CHStaff,gitap,gitap789
8,Hendra Wijaya,WHStaff,hendraw,hendraw123
9,Indah Sari,CHStaff,indahs,indahs456
10,Joko Susanto,WHStaff,jokos,jokos789
11,Kartika Putri,CHStaff,kartikap,kartikap123
12,Lukman Hakim,WHStaff,lukmanh,lukmanh456
13,Mega Puspita,CHStaff,megap,megap789
14,Nina Fitriani,WHStaff,ninaf,ninaf123
15,Oscar Wijaya,CHStaff,oscarw,oscarw456
16,Putri Amelia,WHStaff,putria,putria789
17,Rudi Hartono,CHStaff,rudih,rudih123
18,Siti Rahayu,WHStaff,sitir,sitir456
19,Tono Prasetyo,CHStaff,tonop,tonop789
20,Umi Kusumawati,WHStaff,umik,umik123
21,Vina Puspita,CHStaff,vinap,vinap456
22,Wahyu Nugroho,WHStaff,wahyun,wahyun789
23,Xena Putri,CHStaff,xenap,xenap123
24,Yoga Pratama,WHStaff,yogap,yogap456
25,Zara Fitriani,CHStaff,zaraf,zaraf789
26,Adi Nugroho,WHStaff,adin,adin123
27,Bunga Permata,CHStaff,bungap,bungap456
28,Candra Wijaya,WHStaff,candraw,candraw789
29,Dina Sari,CHStaff,dinas,dinas123
30,Eko Susanto,WHStaff,ekos,ekos456
31,Fani Putri,CHStaff,fanip,fanip789
32,Gita Hartono,WHStaff,gitah,gitah123
33,Hendra Rahayu,CHStaff,hendrar,hendrar456
34,Indah Prasetyo,WHStaff,indahp,indahp789
35,Joko Hakim,CHStaff,jokoh,jokoh123
36,Kartika Puspita,WHStaff,kartikapu,kartikapu456
37,Lukman Fitriani,CHStaff,lukmanf,lukmanf789
38,Mega Wijaya,WHStaff,megaw,megaw123
39,Nina Sari,CHStaff,ninas,ninas456
40,Oscar Susanto,WHStaff,oscars,oscars789
41,Putri Putri,CHStaff,putrip,putrip123
42,Rudi Nugroho,WHStaff,rudin,rudin456
43,Siti Fitriani,CHStaff,sitif,sitif789
44,Tono Wijaya,WHStaff,tonow,tonow123
45,Umi Sari,CHStaff,umis,umis456
46,Vina Susanto,WHStaff,vinas,vinas789
47,Wahyu Putri,CHStaff,wahyup,wahyup123
48,Xena Nugroho,WHStaff,xenan,xenan456
49,Yoga Fitriani,CHStaff,yogaf,yogaf789
50,Zara Sari,CHStaff,zaras,zaras123
51,Abdul Rahman,CHStaff,abdulr,abdulr123
52,Bambang Prasetyo,CHStaff,bambangp,bambangp456
53,Cahaya Dewi,CHStaff,cahayad,cahayad789
54,Dewi Lestari,CHStaff,dewil2,dewil2123
55,Eko Prasetyo,CHStaff,ekop2,ekop2123
56,Fajar Nugroho,CHStaff,fajarn2,fajarn2123
57,Gita Permata,CHStaff,gitap2,gitap2123
58,Hendra Wijaya,CHStaff,hendraw2,hendraw2123
59,Indah Sari,CHStaff,indahs2,indahs2123
60,Joko Susanto,CHStaff,jokos2,jokos2123
61,Kartika Putri,CHStaff,kartikap2,kartikap2123
62,Lukman Hakim,CHStaff,lukmanh2,lukmanh2123
63,Mega Puspita,CHStaff,megap2,megap2123
64,Nina Fitriani,CHStaff,ninaf2,ninaf2123
65,Oscar Wijaya,CHStaff,oscarw2,oscarw2123
66,Putri Amelia,CHStaff,putria2,putria2123
67,Rudi Hartono,CHStaff,rudih2,rudih2123
68,Siti Rahayu,CHStaff,sitir2,sitir2123
69,Tono Prasetyo,CHStaff,tonop2,tonop2123
70,Umi Kusumawati,CHStaff,umik2,umik2123
71,Vina Puspita,CHStaff,vinap2,vinap2123
72,Wahyu Nugroho,CHStaff,wahyun2,wahyun2123
73,Xena Putri,CHStaff,xenap2,xenap2123
74,Yoga Pratama,CHStaff,yogap2,yogap2123
75,Zara Fitriani,CHStaff,zaraf2,zaraf2123
76,Adi Nugroho,WHStaff,adin2,adin2123
77,Bunga Permata,WHStaff,bungap2,bungap2123
78,Candra Wijaya,WHStaff,candraw2,candraw2123
79,Dina Sari,WHStaff,dinas2,dinas2123
80,Eko Susanto,WHStaff,ekos2,ekos2123
81,Fani Putri,WHStaff,fanip2,fanip2123
82,Gita Hartono,WHStaff,gitah2,gitah2123
83,Hendra Rahayu,WHStaff,hendrar2,hendrar2123
84,Indah Prasetyo,WHStaff,indahp2,indahp2123
85,Joko Hakim,WHStaff,jokoh2,jokoh2123
86,Kartika Puspita,WHStaff,kartikapu2,kartikapu2123
87,Lukman Fitriani,WHStaff,lukmanf2,lukmanf2123
88,Mega Wijaya,WHStaff,megaw2,megaw2123
89,Nina Sari,WHStaff,ninas2,ninas2123
90,Oscar Susanto,WHStaff,oscars2,oscars2123
91,Putri Putri,WHStaff,putrip2,putrip2123
92,Rudi Nugroho,WHStaff,rudin2,rudin2123
93,Siti Fitriani,WHStaff,sitif2,sitif2123
94,Tono Wijaya,WHStaff,tonow2,tonow2123
95,Umi Sari,WHStaff,umis2,umis2123
96,Vina Susanto,WHStaff,vinas2,vinas2123
97,Wahyu Putri,WHStaff,wahyup2,wahyup2123
